price,bedrooms,bathrooms,sqft,status,address
1395000,3,2,1790,sold,"108 Odell Clark Pl, New York, NY 10030"
1915000,0,1,1637,sold,"1851 Adam Clayton Powell Jr Blvd #B21, New York, NY 10026"
1010000,0,1,1270,sold,"380 Malcolm X Blvd #9F, New York, NY 10027"
10,0,1,3592,sold,"202 W 139th St, New York, NY 10030"
475000,1,1,470,sold,"235 W 137th St #5R, New York, NY 10030"
6.00E+05,1,1,489,sold,"300 W 122nd St #6R, New York, NY 10027"
560000,0,1,422,sold,"300 W 122nd St #9E, New York, NY 10027"
1065000,0,1,1075,sold,"61-63 Malcolm X Blvd #5D, New York, NY 10026"
779500,0,1,757,sold,"2280 Frederick Douglass Blvd #6A, New York, NY 10027"
2525000,0,1,2990,sold,"309 W 118th St #1FTPL, New York, NY 10026"
1235000,2,2,973,sold,"300 W 122nd St #7H, New York, NY 10027"
10,2,1,733,sold,"301 W 110th St #5K, New York, NY 10026"
929000,2,2,1000,sold,"714 Saint Nicholas Ave #4, New York, NY 10031"
549000,2,1,161156,sold,"130 Bradhurst Ave #1, New York, NY 10039"
2150000,4,3,2429,sold,"2002 5th Ave #4AB, Manhattan, NY 10035"
890000,1,1,693,sold,"300 W 122nd St #10L, New York, NY 10027"
1275000,0,1,1268,sold,"49 Mount Morris Park W #4C, New York, NY 10027"
615000,2,1,660,sold,"118 W 112th St #1C, New York, NY 10026"
995000,1,1,738,sold,"300 W 122nd St #5N, New York, NY 10027"
6300000,3,4,2165,sold,"1 Central Park N #33D, New York, NY 10023"
413604,2,2,851,sold,"171 W 131st St #321, New York, NY 10027"
615000,1,1,595,sold,"301 W 110th St #10E, New York, NY 10026"
4.00E+05,0,1,901,sold,"237 W 134th St #5E, New York, NY 10030"
4995000,4,4,2889,sold,"110 Central Park N, Manhattan, NY 10019"
1125000,0,1,1199,sold,"271 W 122nd St #3, New York, NY 10027"
1395000,3,2,1790,sold,"108 W 138th St #6A, New York, NY 10030"
985500,6,4,1600,sold,"149 W 117th St, New York, NY 10026"
905000,3,2,1037,sold,"118 W 112th St #2B, New York, NY 10026"
333000,2,1,780,sold,"100 W 141st St #71, Manhattan, NY 10030"
425000,1,1,700,sold,"102 Bradhurst Ave #202, New York, NY 10039"
775000,1,5,850,sold,"256 W 123rd St #5B, New York, NY 10027"
650000,1,1,575,sold,"2101 Frederick Douglass Blvd #5D, New York, NY 10026"
999999,2,2,1075,sold,"1400 5th Ave #7E, New York, NY 10026"
660000,2,2,992,sold,"300 W 145th St #10, New York, NY 10039"
635000,1,1,600,sold,"301 W 110th St #14D, New York, NY 10026"
1165000,0,1,1062,sold,"2280 Frederick Douglass Blvd #8I, New York, NY 10027"
580000,0,1,488,sold,"300 W 122nd St #5Q, New York, NY 10027"
980000,1,1,693,sold,"300 W 122nd St #12F, New York, NY 10027"
1100000,0,1,883,sold,"68 Bradhurst Ave #9-V, New York, NY 10039"
450000,1,1,577,sold,"305 W 150th St #301, New York, NY 10039"
1410000,0,1,1504,sold,"380 Malcolm X Blvd #8B, New York, NY 10027"
1065000,2,2,1075,sold,"61 Lenox Ave #5D, New York, NY 10026"
926242,1,1,757,sold,"300 W 122nd St #6J, New York, NY 10027"
890000,0,1,3060,sold,"162 W 136th St, New York, NY 10030"
1425000,0,1,1383,sold,"2131 Frederick Douglass Blvd #8A, New York, NY 10026"
1595000,2,2,2095,sold,"257 W 117th St #6D, New York, NY 10026"
1499000,2,2,1094,sold,"300 W 122nd St #5K, New York, NY 10027"
430000,1,1,590,sold,"305 W 150th St #405, New York, NY 10039"
815000,2,2,938,sold,"300 W 135th St #5L, New York, NY 10030"
680000,1,1,675,sold,"300 W 135th St #2M, New York, NY 10030"
690000,2,2,894,sold,"68 Bradhurst Ave #5B, New York, NY 10039"
787000,0,1,39787,sold,"106 W 117th St #S, New York, NY 10026"
812000,0,1,33493,sold,"101-106 W 117th St #N, New York, NY 10026"
1150000,0,1,3680,sold,"151 W 129th St, New York, NY 10027"
1550000,0,1,1702,sold,"380 Malcolm X Blvd #4A, New York, NY 10027"
2100000,0,1,1570,sold,"2187 Frederick Douglass Blvd #10D, New York, NY 10026"
1700000,1,1,860,sold,"41 Central Park N #7H, Manhattan, NY 10023"
4275000,5,6,4300,sold,"105 W 122nd St, New York, NY 10027"
825000,1,1,638,sold,"300 W 122nd St #11G, New York, NY 10027"
690000,2,1,857,sold,"2098 Frederick Douglass Blvd #4G, New York, NY 10026"
605000,1,1,895,sold,"111 W 113th St #1B, New York, NY 10026"
950000,3,2,1085,sold,"68 Bradhurst Ave #6C, New York, NY 10039"
812000,3,2,1152,sold,"101 W 117th St #2B, New York, NY 10026"
875000,3,2,1121,sold,"118 W 112th St #4A, New York, NY 10026"
680000,1,1,670,sold,"1330 5th Ave #4H, New York, NY 10026"
1205000,3,2,1035,sold,"68 Bradhurst Ave #1, New York, NY 10039"
1275000,3,5,1600,sold,"263 W 123rd St #5, New York, NY 10027"
768000,1,1,749,sold,"106 W 116th St #6B, New York, NY 10026"
2210000,4,3,1732,sold,"40 W 116th St #A904, New York, NY 10026"
662000,2,2,915,sold,"68 Bradhurst Ave #6S, New York, NY 10039"
321000,0,1,317,sold,"48 W 138th St #5O, New York, NY 10037"
2500000,4,5,3600,sold,"44 W 127th St, New York, NY 10027"
675000,1,1,594,sold,"18 W 129th St, New York, NY 10027"
1350000,3,1,1600,sold,"2605-2609 Frederick Douglass Blvd #5A, New York, NY 10030"
1085000,2,2,1000,sold,"237 W 115th St #6B, New York, NY 10026"
2450000,7,6,4594,sold,"156 W 130th St, New York, NY 10027"
885000,2,2,965,sold,"171 W 131st St #307, New York, NY 10027"
2775000,5,4,4128,sold,"202 W 137th St, New York, NY 10030"
972500,2,2,1229,sold,"2257 Adam Clayton Powell Jr Blvd #3A, New York, NY 10027"
1060000,2,2,1143,sold,"40 W 116th St #B809, New York, NY 10026"
2100000,5,4,4000,sold,"184 W 134th St, New York, NY 10030"
1259000,2,2,1236,sold,"306 W 148th St, New York, NY 10039"
855000,0,1,1175,sold,"300 W 137th St #2547B, New York, NY 10030"
467500,0,1,1102,sold,"2098 Frederick Douglass Blvd #3A, New York, NY 10026"
9.00E+05,3,2,1277,sold,"330 W 145th St #512, New York, NY 10039"
472500,2,1,750,sold,"29 W 119th St #25, New York, NY 10026"
6050000,2,3,1599,sold,"1 Central Park N #40C, New York, NY 10023"
1900000,0,1,2569,sold,"5 W 120th St #1, New York, NY 10027"
1172500,3,2,1013,sold,"250 Manhattan Ave #5C, New York, NY 10026"
735000,2,2,881,sold,"362 Saint Nicholas Ave #3A, New York, NY 10027"
1030000,1,1,1232,sold,"220 W 148th St #5K, New York, NY 10039"
1300000,3,2,1240,sold,"2110 Frederick Douglass Blvd #6C, New York, NY 10026"
3450000,5,6,5430,sold,"102 W 131st St, New York, NY 10027"
535000,1,1,637,sold,"68 Bradhurst Ave #2P, New York, NY 10039"
999000,2,2,1052,sold,"300 W 135th St #12J, New York, NY 10030"
1250000,0,1,30637,sold,"2430 Adam Clayton Powell Jr Blvd #2, New York, NY 10030"
1240000,0,1,1296,sold,"159 W 118th St, New York, NY 10026"
1735000,0,1,1636,sold,"1845 Adam Clayton Powell Jr Blvd #A4A, New York, NY 10026"
295000,0,1,317,sold,"48 W 138th St #2N, New York, NY 10037"
917500,2,2,1175,sold,"2571 Frederick Douglass Blvd #2571C, New York, NY 10030"
1275000,2,2,1120,sold,"23 W 116th St #10C, New York, NY 10026"
999999,1,2,1212,sold,"257 W 117th St #4C, New York, NY 10026"
2200000,4,4,3624,sold,"78 W 119th St, New York, NY 10026"
2922000,4,4,3936,sold,"150 W 119th St, New York, NY 10026"
1,0,1,2616,sold,"322 W 115th St, New York, NY 10026"
225000,1,1,650,sold,"409 Edgecombe Ave #11G, New York, NY 10032"
634000,0,1,760,sold,"220 W 148th St #2P, New York, NY 10039"
1587500,2,3,1211,sold,"120 W 118th St #4, New York, NY 10026"
1665000,2,3,1892,sold,"129 W 123rd St #1, New York, NY 10027"
2915500,5,5,4199,sold,"316 W 138th St, New York, NY 10030"
1100000,2,2,965,sold,"106 W 116th St #11B, New York, NY 10026"
960000,1,2,1561,sold,"103 W 118th St #1B, New York, NY 10026"
2999999,6,7,3400,sold,"320 W 138th St, New York, NY 10030"
260000,2,1,700,sold,"371 Edgecombe Ave #4D, Manhattan, NY 10031"
850000,2,1,918,sold,"117 Edgecombe Ave #1, New York, NY 10030"
858000,0,1,1175,sold,"300 W 137th St #2551A, New York, NY 10030"
1245140,0,1,5541,sold,"1 Central Park N #51A, New York, NY 10023"
450000,1,1,700,sold,"345 W 145th St #5B2, Manhattan, NY 10031"
675000,1,1,796,sold,"220 W 148th St #3G, New York, NY 10039"
1500000,0,1,1614,sold,"11 W 119th St, New York, NY 10026"
2850000,4,5,4759,sold,"154 W 132nd St, New York, NY 10027"
3345000,4,5,4103,sold,"154 W 120th St, New York, NY 10027"
370000,3,1,884,sold,"2460 Adam Clayton Powell Jr Blvd #21, New York, NY 10030"
840000,2,2,1066,sold,"300 W 135th St #6B, New York, NY 10030"
785000,1,1,830,sold,"40 W 116th St #A616, New York, NY 10026"
2145000,0,1,1645,sold,"2187 Frederick Douglass Blvd #2-B, New York, NY 10026"
41500,0,1,716,sold,"3 W 122nd St #3A, New York, NY 10027"
1375000,3,3,1485,sold,"1400 5th Ave #7D, New York, NY 10026"
607000,0,1,773,sold,"66-72 Saint Nicholas Ave #3F, New York, NY 10026"
1425000,0,1,1292,sold,"2131 Frederick Douglass Blvd #3B, New York, NY 10026"
4800000,0,1,5375,sold,"1851 Adam Clayton Powell Jr Blvd #B24, New York, NY 10026"
748000,3,2,1192,sold,"143 W 128th St #3, New York, NY 10027"
220000,1,1,600,sold,"258 W 117th St #52W, New York, NY 10026"
3675000,0,1,6504,sold,"36 W 128th St, New York, NY 10027"
1013500,0,1,1085,sold,"68 Bradhurst Ave #10-C, New York, NY 10039"
575000,0,1,612,sold,"106 W 123rd St #2, New York, NY 10027"
575000,0,1,612,sold,"106 W 123rd St #2, New York, NY 10027"
315000,2,1,800,sold,"323 Edgecombe Ave #7, Manhattan, NY 10031"
607500,1,1,700,sold,"300 W 135th St #10A, New York, NY 10030"
2700000,6,6,4926,sold,"230 W 135th St, New York, NY 10030"
275000,1,1,750,sold,"860 Grand Concourse #7-B, Bronx, NY 10451"
640000,2,1,800,sold,"70 E 93rd St #3B, New York, NY 10128"
1150000,6,6,3044,sold,"637 Walton Ave, Bronx, NY 10451"
2450000,2,3,1961,sold,"238 W 108th St #6, New York, NY 10025"
885000,2,2,1050,sold,"504 W 136th St #5D, New York, NY 10031"
192000,1,1,743,sold,"825 Walton Ave #H, Bronx, NY 10451"
535000,0,1,455,sold,"209 W 104th St #5G, New York, NY 10025"
1825000,2,2,1356,sold,"245 E 93rd St #19H, New York, NY 10128"
960000,2,1,1000,sold,"535 W 110th St #7F, Manhattan, NY 10025"
2395000,3,3,1650,sold,"9 E 96th St #15B, Manhattan, NY 10128"
2450000,3,3,1998,sold,"285 Riverside Dr #4B, Manhattan, NY 10025"
2550000,3,3,1718,sold,"817 W End Ave #11B, New York, NY 10025"
1095000,1,1,860,sold,"382 Central Park W #17A, New York, NY 10025"
2695000,3,3,1777,sold,"272 W 107th St #7A, New York, NY 10025"
2975000,3,3,1829,sold,"545 W 110th St #5F, New York, NY 10025"
1430000,2,2,1160,sold,"1623 3rd Ave #8H, New York, NY 10128"
310500,2,1,900,sold,"800 Grand Concourse #5HN, Bronx, NY 10451"
2500000,3,3,2300,sold,"245 E 93rd St #SW2, New York, NY 10128"
480000,0,1,626,sold,"504 W 110th St #6D, New York, NY 10025"
650000,2,1,850,sold,"124 W 109th St #4A, Manhattan, NY 10025"
1697500,3,2,1371,sold,"1601 3rd Ave #24A, New York, NY 10128"
659000,0,1,97592,sold,"1825 Madison Ave #810, New York, NY 10035"
825000,1,5,832,sold,"59 W 88th St, New York, NY 10024"
990000,3,5,2119,sold,"33 Colony Rd, Edgewater, NJ 07020"
2250000,6,4,3224,sold,"58 W 127th St, New York, NY 10027"
640000,2,1,892,sold,"2322 Adam Clayton Powell Jr Blvd #4F, New York, NY 10030"
